Gemeinde,Alters ranking,Arbeiter ranking,Lärm ranking,Score alter,Score arbeit,Score Lärm
Alpnach,12.551815619300282,3165,56,28.417597563238978,36.358414704192995,44
Engelberg,23.415450849079168,2600,40,53.013116123835196,29.867892016082713,60
Giswil,24.5489338436304,1358,0,55.579347540938144,15.600229753015508,100
Kerns,44.1691652201357,2462,18,100.0,28.282596209075244,82
Lungern,6.415094339622642,1169,24,14.523920268020253,13.429063756461805,76
Sachseln,0.0,3338,29,0.0,38.345778288340036,71
Sarnen,0.0,8705,28,0.0,100.0,72
